id,tag,content,solution,answer
495,OPTICS,"In 1845, Faraday studied the influence of electricity and magnetism on polarized light and discovered that heavy glass, originally non-optically active, exhibited optical activity under the influence of a strong magnetic field, causing the plane of polarization of polarized light to rotate. This was the first time humanity recognized the relationship between electromagnetic phenomena and light phenomena. The magneto-optical rotation effect later became known as the Faraday Effect.

In the magneto-optical rotation effect, the rotation angle of the vibration plane \(\beta\) is proportional to the distance \(d\) that light travels through the medium and is also proportional to the magnetic induction intensity \(B\) within the medium, expressed as:
\[
\beta = vBd
\]
where \(v\) is the proportionality constant, known as the Verdet constant, which depends on the properties of the medium and is also related to the wavelength of the incident light. Assume that the medium can be modeled using the Lorentz model, where the medium is composed of atoms, with \(N\) atoms per unit volume, and each atom contains \(Z\) electrons in the outer shell. The outer electrons deviate from their equilibrium positions and are subject to linear restoring forces: \(\vec{f} = -k\vec{r}\), with the harmonic resonance frequency of the outer shell electrons being \(\omega_0\). The interaction between the incident light and the medium exclusively involves the outer shell electrons.

Circularly polarized light can be regarded as the result of the synthesis of two linearly polarized light waves with the same frequency and direction, mutually perpendicular vibration axes, and a stable phase relationship. The two linearly polarized light waves have the same amplitude and a phase difference of \(\pm\pi/2\), representing left-handed and right-handed circularly polarized light, respectively. Similarly, a linearly polarized light wave can be decomposed into left-handed and right-handed circularly polarized components.

Based on these models, calculate the Verdet constant \(\beta\) for incident light with an angular frequency of \(\omega\). Assume that the medium does not absorb the incident light and its refractive index near the angular frequency \(\omega\) is \(n\).","Solution: The propagation of light waves in a medium under an applied magnetic field involves the motion of electrons:
\[m\ddot{\vec{r}} = -k\vec{r} - g\vec{v} - e(\vec{E} + \vec{v} \times \vec{B})\]
\(\vec{E}\) is the electric field intensity of the incident light wave; \(\vec{B}\) is the magnetic induction intensity applied to the medium; \(g\) is the damping term, and since the medium does not absorb the incident light, it exhibits weak damping and low loss, thus neglecting the damping term:
\[m\ddot{\vec{r}} = -k\vec{r} - e(\vec{E} + \vec{v} \times \vec{B})\]
Let \(\vec{B}\) be along the positive \(z\)-axis, which is also the propagation direction of the light wave, thus:
\[
\begin{cases}
m\ddot{x} + e\dot{y}B + kx = -eE_x \\
m\ddot{y} - e\dot{x}B + ky = -eE_y
\end{cases}
\]
Assuming the incident wave is a steady-state wave, the relationship between the electric field and time: \(e^{-i\omega t}\)
The relationship between the perturbation term of the forced vibration of the outer electrons and time: \(e^{-i\omega t}\)
Thus: \(\frac{\partial}{\partial t} \equiv -i\omega\), \(\frac{\partial^2}{\partial t^2} \equiv -\omega^2\), therefore:
\[
\begin{cases}
(\omega_0^2 - \omega^2)r_x - i\omega\Omega r_y = -\frac{e}{m}E_x \\
(\omega_0^2 - \omega^2)r_y + i\omega\Omega r_x = -\frac{e}{m}E_y
\end{cases}
\]
Where:
\(\Omega = \frac{eB}{m}\), \(\omega_0 = \sqrt{\frac{k}{m}}\)

For left-hand circularly polarized light, \(E_+ = E_x + iE_y\), then: \(r_+ = r_x + ir_y\)
\[(\omega_0^2 - \omega^2 - \omega\Omega)r_+ = -\frac{e}{m}E_+\]
Solving this, we get:
\[r_+ = -\frac{e}{m(\omega_0^2 - \omega^2 - \omega\Omega)}E_+\]
The polarization vector: The atomic number density of the medium is \(N(1/m^3)\), with each atom providing \(Z\) electrons weakly bound in the outer layer;
\[\vec{P}_+ = NZ(-e)\vec{r}_+ = \frac{NZ\frac{e^2}{m}}{\omega_0^2 - \omega^2 - \omega\Omega}E_+\]
Since \(P = \varepsilon_0\chi E\), thus:
\[\chi_+ = \frac{NZ\frac{e^2}{\varepsilon_0 m}}{\omega_0^2 - \omega^2 - \omega\Omega}\]
The refractive index for left-hand circularly polarized light is:
\[n_+^2 = \varepsilon_+ = (1 + \chi_+) = 1 + \frac{NZ\frac{e^2}{\varepsilon_0 m}}{\omega_0^2 - \omega^2 - \omega\Omega}\]

For right-hand circularly polarized light \(E_- = E_x - iE_y\), then: \(r_- = r_x - ir_y\)
\[(\omega_0^2 - \omega^2 + \omega\Omega)r_- = -\frac{e}{m}E_-\]
Solving this, we get:
\[r_- = -\frac{e}{m(\omega_0^2 - \omega^2 + \omega\Omega)}E_-\]
\[\vec{P}_- = NZ(-e)\vec{r}_- = \frac{NZ\frac{e^2}{m}}{\omega_0^2 - \omega^2 + \omega\Omega}E_-\]
Thus:
\[\chi_- = \frac{NZ\frac{e^2}{\varepsilon_0 m}}{\omega_0^2 - \omega^2 + \omega\Omega}\]
The refractive index for right-hand circularly polarized light is:
\[n_-^2 = \varepsilon_- = (1 + \chi_-) = 1 + \frac{NZ\frac{e^2}{\varepsilon_0 m}}{\omega_0^2 - \omega^2 + \omega\Omega}\]
That is, the refractive indices for left-hand and right-hand circularly polarized light are different:
\[n_{\pm}^2 = \varepsilon_{\pm} = (1 + \chi_{\pm}) = 1 + \frac{NZ\frac{e^2}{\varepsilon_0 m}}{\omega_0^2 - \omega^2 \mp \omega\Omega}\]

Any linearly polarized light can be decomposed into two circularly polarized lights with the same frequency, equal amplitude, and a stable phase relationship. When linearly polarized light passes through a medium with an external magnetic field aligned with the direction of propagation, the rotation angle of the polarization plane is:
\[\beta = \frac{1}{2}(\alpha_+ - \alpha_-) = \frac{\pi}{\lambda}(n_+ - n_-)d\]
where \(d\) is the propagation length of light in the medium.

Find \((n_+ - n_-)\)
\[
\begin{align*}
n_+^2 - n_-^2 &= (n_+ - n_-)(n_+ + n_-)\\
&= NZ\frac{e^2}{\varepsilon_0 m} \cdot \frac{2\omega\Omega}{(\omega_0^2 - \omega^2)^2 - (\omega\Omega)^2}
\end{align*}
\]
Generally, the cyclotron frequency \(\Omega\) is much smaller than the optical frequency \(\omega\), and the optical frequency \(\omega\) is not near the resonance frequency \(\omega_0\), hence:
\[n_+ + n_- \approx 2n\]
\[n^2 \approx 1 + NZ\frac{e^2}{\varepsilon_0 m} \cdot \frac{1}{\omega_0^2 - \omega^2}\]
Therefore:
\[n_+ - n_- = NZ\frac{e^2}{\varepsilon_0 mn} \cdot \frac{\omega\Omega}{(\omega_0^2 - \omega^2)^2}\]
Thus:
\[
\begin{align*}
\beta &= \frac{\pi}{\lambda}(n_+ - n_-)d = \frac{\omega}{2c}NZ\frac{e^2}{\varepsilon_0 mn} \cdot \frac{\omega\Omega}{(\omega_0^2 - \omega^2)^2}Bd = \frac{NZ e^3}{2c\varepsilon_0 m^2 n} \cdot \frac{\omega^2}{(\omega_0^2 - \omega^2)^2} \cdot Bd\\
&= vBd
\end{align*}
\]
The Verdet constant is obtained as:
\[v = \frac{NZ e^3}{2c\varepsilon_0 m^2 n} \cdot \frac{\omega^2}{(\omega_0^2 - \omega^2)^2}\]",\[v = \frac{NZ e^3}{2c\varepsilon_0 m^2 n} \cdot \frac{\omega^2}{(\omega_0^2 - \omega^2)^2}\] 
600,OPTICS,"The Yang's double slit interference experiment consists of three parts: light source, double slit, and receiving screen. In the experiment, we generated a line light source by placing a point light source behind the slit $S_0$, and the light was then projected onto the receiving screen through the double slits $S_1$ and $S_2$, forming interference fringes. Now we will perform the following actions on this device:
Place polarizer $P_0$ next to slit $S_0$, and polarizers $P_1$ and $P_2$ next to slits $S_1$ and $S_2$, respectively, so that the transmission direction of $P_0$ is parallel to $P_1$ and forms a $\theta=60\degree$ angle with $P_2$.
Try to determine the contrast of the stripes on the receiving screen at this time.","The magnitude of electric field intensity is set to A after passing through polarizer P0.

The optical amplitude through P1 is A, and the optical amplitude through P2 is $\ frac 12 $A.
Let the direction parallel to P0 be the x direction and the direction perpendicular to it be the y direction.
standard
$$
E_{1x}=A,E_{2x}=\frac{1}{4} A,E_{2y}=\frac {\sqrt{3}}{4} A
$$
$E2 {1x} $and $E2 {2x} $are coherently superimposed, with a total light intensity of
$$
I=I_{0}\left(\frac 54 +\frac 12 \cos\delta\right)
$$
The lining ratio is
$$
\gamma=\frac 25
$$",$$\gamma = \frac{2}{5}$$
285,MECHANICS,"A small bug with a mass of $m$ crawls on a disk with a radius of $2R$. Relative to the disk, its crawling trajectory is a circle of radius $R$ that passes through the center of the disk. The disk rotates with a constant angular velocity $\omega$ about an axis passing through its center and perpendicular to the plane of the disk. The bug's angular crawling velocity relative to the disk is in the same direction as the disk's angular velocity and has the same magnitude. Solve for the maximum force $F_{max}$ between the bug and the disk required to maintain this motion (neglecting gravity).","The problem can use the acceleration transformation formula for rotating reference frames, where the actual acceleration of the small insect  

$$
\overrightarrow{a}=\overrightarrow{a}+2\overrightarrow{\omega}\times\overrightarrow{v}+\dot{\overrightarrow{\omega}}\times\overrightarrow{r}-\omega^{2}\overrightarrow{r}
$$

Here, $\vec{a}^{\prime}$ is the acceleration relative to the rotating system, and since the rotating system is a uniform circular motion,  

$$
\dot{a_{\mathrm{\scriptsize~=~}}}\omega^{2}R
$$

is the speed relative to the rotating system, with a magnitude of $\omega R$. Thus, the magnitude of the Coriolis acceleration is:  

$$
2\omega v^{'}=2\omega^{2}R
$$

The last term is the centripetal acceleration, which is directly proportional to the distance from the insect to the center of the disk,  

$$
\omega^{2}r=2\omega^{2}R\cos\left(\frac{\theta}{2}\right)
$$

(Analysis of each acceleration, 7 points)  

These three acceleration components are combined to derive the total acceleration magnitude as:  

$$
a=\omega^{2}R{\sqrt{\left(3+2\cos\left({\frac{\theta}{2}}\right)^{2}\right)^{2}+4\cos\left({\frac{\theta}{2}}\right)^{2}\sin\left({\frac{\theta}{2}}\right)^{2}}}=\omega^{2}R{\sqrt{9+16\cos\left({\frac{\theta}{2}}\right)^{2}}}
$$

which is a constant, so the maximum force is  

$$
F_{m a x}=5m\omega^{2}R
$$",$$F_{\max} = 5m\omega^2R$$
321,MECHANICS,"The civilization of *Three-Body* changes the values of fundamental physical constants, such as the Planck constant, inside the ""water drop"" to alter the range of strong forces.  
What kind of effects would this produce? This problem provides a suitable discussion about this question.  

Hideki Yukawa pointed out that the propagator of nuclear forces is the $\pi$ meson. One can equivalently simplify the effect by considering that protons and protons, protons and neutrons, and neutrons and neutrons have an identical strong-force potential energy. For a force field with a propagator of mass, Yukawa potential and its range can be expressed as:  

$$
U = -\frac{A\mathrm{e}^{-\frac{2\pi m c r}{h}}}{r}\quad,\quad\lambda = \frac{h}{2\pi m c}
$$  

For the deuteron (the strong-force binding between a proton and a neutron), consider two particles rapidly rotating around the center of mass. If the distance between the proton and the neutron is precisely $r$ and they do not collide, find the angle rotated around the center of mass during one complete cycle of small radial oscillation. Express the answer in terms of $\lambda$ and $r$.","$$
F=-\frac{A(1+\frac{2\pi m c r}{h})e^{-\frac{2\pi m c r}{h}}}{r^{2}}
$$  

Newton's Law  

$$
m\omega^{2}\frac{r}{2}=\frac{A(1+\frac{2\pi m c r}{h})e^{-\frac{2\pi m c r}{h}}}{r^{2}}
$$  

Effective Potential Energy  

$$
V_{eff}=-\frac{A e^{-\frac{2\pi m c r}{h}}}{r}+\frac{L^{2}}{2\cdot m/2\cdot r^{2}}
$$  

Solving the Second Derivative  

$$
\frac{d^{2}V_{eff}}{d r^{2}}=\frac{A e^{-\frac{r}{\lambda}}}{r^{3}}\left(1+\frac{r}{\lambda}-\frac{r^{2}}{\lambda^{2}}\right)
$$  

Angular Frequency  

$$
\omega_{0}=\sqrt{\frac{2\frac{d^{2}V_{eff}}{d r^{2}}}{m}}
$$  

Geometric Relation  

$$
\varphi=2\pi\cdot\frac{\omega}{\omega_{0}}
$$  

Resulting  
$$
\varphi=2\pi\sqrt{\frac{1+r/\lambda}{1+r/\lambda-r^2/\lambda^2}}
$$",$$\varphi = 2\pi \sqrt{\frac{1 + \frac{r}{\lambda}}{1 + \frac{r}{\lambda} - \frac{r^2}{\lambda^2}}}$$
674,MECHANICS,"A coin is placed at rest on the edge of a smooth tabletop, with only a small portion of its right side extending beyond the edge. The coin can be considered as a uniform disk with mass $m$, radius $r$, and gravitational acceleration $g$. A vertical impulse $I$ is applied to the right side of the coin. During its subsequent motion after the impact, the coin might fly off the table at some point. Determine the minimum initial velocity of the center of mass, $v_{0, \min}$, required for the coin to leave the table, expressed in terms of $g$ and $r$."",
","The moment of inertia of the coin about the axis is \[J=\frac14mr^2\] According to the impulse and impulse-momentum theorem, about the center of mass we have \[I+I_N=m v_0, Ir-I_Nr=J\omega_0\] There is also the velocity relation \[v_0=\omega_0 r\] Therefore, we have \[v_0=\frac{8I}{5m}, \omega_0=\frac{8I}{5mr}\]  After being struck, assume the angle between the coin and the horizontal direction is \(\phi\). Because the tabletop is smooth, the horizontal coordinate of the center of mass remains unchanged, so \[\vec r_c=(0,r\sin\phi)\] Thus, we have \[E_k=\frac 12m\dot y_c^2+\frac12 J\dot\phi ^2=\frac12mr^2\left(\cos^2\phi+\frac 14\right)\dot\phi^2\] \[E_p=mgy_c=mgr\sin\phi\] Thus, mechanical energy is conserved \[\frac 18mr^2(4\cos^2\phi+1)\dot\phi^2+mgr\sin\phi=\frac{8I^2}{5m}\] From this, we can obtain \[\dot\phi^2=\frac{64I^2-40m^2gr\sin\phi}{5m^2r^2(4\cos^2\phi+1)}\] Since \(\frac{\mathrm d\dot\phi^2}{\mathrm d\phi}=2\ddot\phi\), we have \[\ddot\phi = \frac{4\cos\phi}{5r^2(4\cos^2\phi+1)^2}\left(64\frac{I^2}{m^2}\sin\phi-5gr(5+4\sin^2\phi)\right)\] Hence, we can obtain \[\begin{align*}\ddot y_c&=r(\ddot\phi\cos\phi-\dot\phi^2\sin\phi)\\     &=\frac{4\cos^2\phi}{5r(4\cos^2\phi+1)^2}\left(64\frac{I^2}{m^2}\sin\phi-5gr(5+4\sin^2\phi)\right)-\frac{(64 I^2-40 m^2gr\sin\phi)\sin\phi}{5m^2r(4\cos^2\phi+1)}\end{align*}\] When there is no support force from the tabletop, the coin leaves the table, at that moment \[m\ddot y_c=-mg\] At this point \(\phi=\theta\), \[20\sin^2\theta-64\frac{I^2}{m^2gr}\sin\theta+25=0\] It can be seen that the solution for \(\sin\theta\) can take all values in \((0,1]\), which means for it to jump, we have \[I=m\sqrt{gr}\left(\sqrt{\frac{20\sin^2\theta+25}{64\sin\theta}}\right)_{\min}=\frac{3\sqrt5}{8}m\sqrt{gr}\] Thus we have \[v_{0,\min}=\frac{3\sqrt 5}{5}\sqrt{gr}\]
",$$\frac{3\sqrt{5}}{5}\sqrt{gr}$$
83,ELECTRICITY,"

---

A concentric spherical shell with inner and outer radii of $R_{1}=R$ and $R_{2}=2^{1/3}R$, and magnetic permeability $\mu=3\mu_{0}$, is placed in an external uniform magnetic field with magnetic flux density $B_{0}$ and the magnetic field generated by a fixed magnetic dipole located at the center of the sphere. The magnetic dipole has a magnetic moment $m$ that is aligned with the external magnetic field. The system reaches magnetostatic equilibrium. To solve this problem, we can use the method of magnetic scalar potential. The concept is to express the magnetic field intensity as ${\pmb{H}}=-\nabla\varphi$, where $\varphi$ is referred to as the magnetic scalar potential. This approach applies to all three regions: the space inside the shell, the space outside the shell, and the region within the shell itself. The relationship between magnetic flux density and magnetic field intensity is $B=\mu H$.

If the magnetic moment is rotated by an angle $\alpha$, calculate the torque it experiences. The answer should be expressed in terms of $m$, $B_0$, and $\alpha$. Please verify the result before outputting.

---","(1)  

Let:  

$$
\varphi={\left\{\begin{array}{l l}{A_{1}{\frac{r}{R}}\cos\theta+B_{1}{\frac{R^{2}}{r^{2}}}\cos\theta}&{(r<R)}  
{A_{2}{\frac{r}{R}}\cos\theta+B_{2}{\frac{R^{2}}{r^{2}}}\cos\theta}&{(R<r<k R)}\ {A_{3}{\frac{r}{R}}\cos\theta+B_{3}{\frac{R^{2}}{r^{2}}}\cos\theta}&{(r>k R)}\end{array}\right.}
$$  
(Tangential) continuity $(k=2^{1/3})$  
$$
\begin{array}{c}{{A_{1}+B_{1}=A_{2}+B_{2}}}\ {{\qquad}}\ {{k A_{2}+k^{-2}B_{2}=k A_{3}+k^{-2}B_{3}}}\end{array}
$$  

Magnetic induction normal continuity:  

$$
\mu_{0}A_{1}-2\mu_{0}B_{1}=\mu A_{2}-2\mu B_{2}
$$  

$$
k\mu A_{2}-2k^{-2}\mu B_{2}=k\mu_{0}A_{3}-2k^{-2}\mu_{0}B_{3}
$$  

According to the boundary condition at infinity:  

$$
A_{3}=-\frac{B_{0}R}{\mu_{0}}
$$  

According to the boundary condition at the magnetic dipole:  

$$
B_{1}=\frac{m}{4\pi R^{2}}
$$  

The solution is:  

$$
\begin{array}{c}{{A_{2}=\displaystyle\frac{21}{31}A_{3}+\displaystyle\frac{6}{31}B_{1}}}\ {{{}}}\ {{B_{2}=\displaystyle\frac{6}{31}A_{3}+\displaystyle\frac{15}{31}B_{1}}}\ {{{}}}\ {{A_{1}=\displaystyle\frac{27}{31}A_{3}-\displaystyle\frac{10}{31}B_{1}}}\ {{{}}}\ {{B_{3}=\displaystyle-\frac{14}{31}A_{3}+\displaystyle\frac{27}{31}B_{1}}}\end{array}
$$  

Substituting:  

$$
\varphi=\left\{\begin{array}{l l}{\left(-\frac{27}{31}\frac{B_{0}R}{\mu_{0}}-\frac{10}{31}\frac{m}{4\pi R^{2}}\right)\frac{r}{R}\cos\theta+\frac{m}{4\pi R^{2}}\frac{R^{2}}{r^{2}}\cos\theta}&{(r<R)}\ {\left(-\frac{21}{31}\frac{B_{0}R}{\mu_{0}}+\frac{6}{31}\frac{m}{4\pi R^{2}}\right)\frac{r}{R}\cos\theta+\left(-\frac{6}{31}\frac{B_{0}R}{\mu_{0}}+\frac{15}{31}\frac{m}{4\pi R^{2}}\right)\frac{R^{2}}{r^{2}}\cos\theta}&{(R<r<k R)}\ {-\frac{B_{0}R}{\mu_{0}}\frac{r}{R}\cos\theta+\left(\frac{14}{31}\frac{B_{0}R}{\mu_{0}}+\frac{27}{31}\frac{m}{4\pi R^{2}}\right)\frac{R^{2}}{r^{2}}\cos\theta}&{(r>k R)}\end{array}\right.
$$  

(2)
Magnetic field induced by external magnetic field:  

$$
B^{\prime}=\frac{27}{31}B_{0}
$$  

Thus, torque:  

$$
{\cal M}=\underline{{{m\times B}}}
$$  

Result:  

$$
M=-{\frac{27}{31}}m B_{0}\sin\alpha
$$",$$ M = -\frac{27}{31} m B_0 \sin \alpha $$
54,MECHANICS,"Three small balls are connected in series with three light strings to form a line, and the end of one of the strings is hung from the ceiling. The strings are non-extensible, with a length of $l$, and the mass of each small ball is $m$.

Initially, the system is stationary and vertical. A hammer strikes one of the small balls in a horizontal direction, causing the ball to acquire an instantaneous velocity of $v_0$. Determine the instantaneous tension in the middle string when the topmost ball is struck. (The gravitational acceleration is $g$.)","Strike the top ball, the acceleration of the top ball is:
$$a=\frac{v_0^2}{l}$$

Switching to the reference frame of the top ball, let the tensions from top to bottom be $T_1, T_2, T_3$. Applying Newton's second law to the middle ball:
$$T_2-T_3-mg-m\frac{v_0^2}{l}=m\frac{v_0^2}{l}$$

The acceleration of the bottom ball is: $$a=2\frac{v_0^2}{l}$$

Applying Newton's second law to the bottom ball: $$T_3-mg=2m\frac{v_0^2}{l}$$

Thus, we have: $$T_2=2mg+4m\frac{v_0^2}{l}$$",$$T_2 = 2mg + 4m \frac{v_0^2}{l}$$
10,ELECTRICITY,"The region in space where $x > 0$ and $y > 0$ is a vacuum, while the remaining region is a conductor. The surfaces of the conductor are the $xOz$ plane and the $yOz$ plane. A point charge $q$ is fixed at the point $(a, b, c)$ in the vacuum, and the system has reached electrostatic equilibrium. Find the magnitude of electric field intensity on the surface of the conductor at the $xOz$ plane, ${E}(x, +0, z)$.","The infinite conductor and the point at infinity are equipotential, $U{=}0$, with the boundary condition that the tangential electric field $E_{\tau}{=}0$. By the uniqueness theorem of electrostatics, the induced charges on the conductor can be equivalently replaced by image charges to determine the contribution to the electric potential in the external space of the conductor. The top view of the image charges is shown below.

Therefore, the answer is
\(\vec{E}\left(x,+0,z\right)=\left(\frac{-2q}{4\pi\varepsilon_{0}}\frac{b}{r_{1}^{3}}{+}\frac{2q}{4\pi\varepsilon_{0}}\frac{b}{r_{2}^{3}}\right)\hat{y}=\frac{q b}{2\pi\varepsilon_{0}}\biggl[\bigl[(a+x)^{2}+(z-c)^{2}+b^{2}\bigr]^{\frac{-3}{2}}-\bigl[(x-a)^{2}+(z-c)^{2}+b^{2}\bigr]^{\frac{-3}{2}}\biggr]\hat{y},\) \(\vec{E}\left(+0,y,z\right)=(-\frac{2q}{4\pi\varepsilon_{0}}\frac{a}{r_{1}^{3}}+\frac{2q}{4\pi\varepsilon_{0}}\frac{a}{r_{2}^{3}})\hat{x}=\frac{q a}{2\pi\varepsilon_{0}}\Bigg[\Big[(y+b)^{2}+\big(z-c\big)^{2}+a^{2}\Big]^{\frac{-3}{2}}-\Big[\big(y-b\big)^{2}+\big(z-c\big)^{2}+a^{2}\Big]^{\frac{-3}{2}}\Bigg]\hat{x}\)",$$\frac{q b}{2\pi \varepsilon_0} \left[ ((a+x)^2 + (z-c)^2 + b^2)^{-3/2} - ((x-a)^2 + (z-c)^2 + b^2)^{-3/2} \right]$$
33,THERMODYNAMICS,"Consider an infinite-length black body with inner and outer cylinders, which are in contact with heat sources at temperatures $T_{1}$ and $T_{2}$, respectively; assume that the temperature of the heat sources remains constant. Let the inner cylinder have a radius $r$, the outer cylinder have a radius $R$, and the distance between the axes of the inner and outer cylinders be $b$, with $r < b < R$ and $r + b < R$. Find the power $p(\theta)$ absorbed per unit area from the heat source at angle $\theta$ on the surface of the outer cylinder (i.e., the power density at $\theta$), where $\theta$ is the angle between the line connecting a point on the surface of the outer cylinder and the center of the outer cylinder, and the line connecting the centers of the inner and outer cylinders. The Stefan-Boltzmann constant is denoted as $\sigma$.","In the case of non-coaxial, we examine the long strip-shaped area element at the outer wall reaching $\theta + \mathrm{d} \theta$:

The heat flux projected onto the inner axis is:

$$
\frac{d S}{2}\sigma T_{2}^{4}\int_{\mathrm{arcsin}\left({\frac{b \sin\theta}{D}}\right)-\mathrm{arcsin}({\frac{r}{D}})}^{\mathrm{arcsin}\left({\frac{b \sin\theta}{D}}\right)+\mathrm{arcsin}({\frac{r}{D}})}\cos\theta \, d\theta
$$

The above equation equals $\sigma T_{2}^{4}\frac{r(R-b \cos \theta)}{R^{2}+b^{2}-2R b \cos \theta}\mathrm{d}S$, where dS is the area of the strip-shaped area element. According to the zeroth law of thermodynamics, the heat flux sent from the inner cylinder to the strip-shaped area element at $\theta + \mathrm{d} \theta$ on the outer cylinder is $\begin{array}{r}{\sigma T_{1}^{4}\frac{r(R-b \cos\theta)}{R^{2}+b^{2}-2R b \cos\theta}\mathrm{d} S}\end{array}$: Similarly, according to the zeroth law of thermodynamics,

It is known that the heat flux sent from other places on the outer cylinder to this area element is

$$
\begin{array}{r}{(\sigma T_{2}^{4}-\sigma T_{2}^{4}\frac{r(R-b}{R^{2}+b^{2}-2R b \cos \theta})\mathrm{d} S}\end{array}
$$

It can be seen that the heat absorbed by the unit area element at $\theta$ from the heat source with temperature $T_{2}$ is equal to

$$
\begin{array}{r}{(\sigma T_{2}^{4}-\sigma T_{1}^{4})\frac{r(R-b)}{R^{2}+b^{2}-2R b \cos \theta}}\end{array}
$$","$$
p(\theta) = (\sigma T_2^4 - \sigma T_1^4) \frac{r(R - b \cos \theta)}{R^2 + b^2 - 2Rb \cos \theta}
$$"
41,MECHANICS,"The rocket ascends vertically from the Earth's surface with a constant acceleration $a = k_1g_0$, where $g_0$ is the gravitational acceleration at the Earth's surface. Inside the rocket, there is a smooth groove containing a testing apparatus. When the rocket reaches a height $h$ above the ground, the pressure exerted by the instrument on the bottom of the groove is $k_2$ times what it was at the time of liftoff. Given that the radius of the Earth is $R$, find $h$.","At the moment of takeoff, $N_1=(1+k_1)mg_0$, where $m$ is the mass of the tester.  
When ascending to a height $h$, the gravitational acceleration changes to $g=g_0(\dfrac{R}{R+h})^2$  
The pressure at this time is $N_2=mg_0(\dfrac{R}{R+h})^2+k_1mg_0$  
Since $N_2=k_2N_1$, solving the equations together gives
$h=R(\dfrac{1}{\sqrt{k_2(1+k_1)-k_1}}-1)$",$$R\left(\frac{1}{\sqrt{k_2(1+k_1)-k_1}}-1\right)$$
